bond length,HF,QCC-CAS,UCCSD-CAS,CCSD-CAS,FCI-CAS,ecore
-0.1,-29.755796458849197,-29.75816338471801,-29.75671524510027,-29.758153780823456,-29.758163621209125,-27.91965111157279
-0.05,-29.757067559258516,-29.759582205807938,-29.758735916146307,-29.759571476358317,-29.759582477040013,-27.93304242439762
0.0,-29.757673237735695,-29.760338393305293,-29.75874546008499,-29.760326430083467,-29.760338732349872,-27.945903948516435
0.05000000000000002,-29.757714996364847,-29.760533393517697,-29.75960943843418,-29.760519958631363,-29.760533685728515,-27.95829048108572
0.1,-29.75728123084729,-29.7602555080183,-29.758494215472087,-29.76024037907545,-29.76025570858508,-27.970248874677907
0.15,-29.756448090318624,-29.759580881304654,-29.75857338911263,-29.75956391540819,-29.759581064262612,-27.98181971524325
0.20000000000000004,-29.755280689032922,-29.75857504990394,-29.757525658130973,-29.758555851561823,-29.758575085956156,-27.993038229693756
0.25,-29.753834415223775,-29.757293087955837,-29.756183765799907,-29.75727178242058,-29.757293433910537,-28.00393492975043
0.30000000000000004,-29.752156198778728,-29.75578296944149,-29.754627171308567,-29.75575879359256,-29.75578328304886,-28.014536192780625
0.35,-29.750285678222937,-29.754083741249904,-29.751815082246136,-29.75405648635539,-29.754084362515222,-28.024864813485536
