bond length,HF,QCC-CAS,UCCSD-CAS,CCSD-CAS,FCI-CAS,ecore
-0.1,-224.27876274290008,-224.33884418921738,-224.33884418921738,-224.33882480359222,-224.33924111916218,-214.16977653882998
-0.05,-224.27759892469203,-224.3457713109378,-224.3457713109378,-224.34584321244677,-224.3463365478159,-214.23796449829283
0.0,-224.26333907629805,-224.33847595787927,-224.33847595787927,-224.33876767451653,-224.33931678355495,-214.2890028997767
0.05000000000000002,-224.24046317660023,-224.3209674788256,-224.3209674788256,-224.32149190262774,-224.3220800911723,-214.32776275624866
0.1,-224.21220597354102,-224.2956439305144,-224.2956439305144,-224.29641123948977,-224.29703966553956,-214.35812187321687
0.15,-224.18098036256495,-224.26358333944202,-224.26358333944202,-224.2646341836903,-224.26532456859096,-214.38322739781222
0.20000000000000004,-224.14878892512087,-224.2243204068136,-224.2243204068136,-224.22618564084766,-224.22695015199636,-214.40558523370743
0.25,-224.1176949158472,-224.17875327711468,-224.17875327711468,-224.18121134222423,-224.18199437720085,-214.42705863588452
0.30000000000000004,-224.0901585685006,-224.1322640203929,-224.1322640203929,-224.13456408552818,-224.13525181302776,-214.4495830490654
0.35,-224.0682176215999,-224.0952651877879,-224.0952651877879,-224.09663293337226,-224.0970863012827,-214.47531100075088
