bond length,HF,QCC-CAS,UCCSD-CAS,CCSD-CAS,FCI-CAS,ecore
-0.1,-224.27876274290003,-224.32660565022687,-224.32660565015394,-224.32660565027405,-224.3266056502269,-222.7861344878978
-0.05,-224.27759892469203,-224.3317645316212,-224.33176453162073,-224.33176453170688,-224.3317645316212,-222.79871345690873
0.0,-224.26333907629805,-224.32310214507032,-224.32310214507032,-224.32310214520422,-224.32310214507044,-222.7953679037117
0.05000000000000002,-224.24046317660023,-224.30440975239523,-224.30440975237804,-224.3044097525705,-224.30440975239486,-222.78025758203069
0.1,-224.21220597354056,-224.27796528956517,-224.27796528956236,-224.2779652897485,-224.27796528956395,-222.75605702002986
0.15,-224.18098036256472,-224.24479653008123,-224.2447965299748,-224.24479653022158,-224.2447965300801,-222.7241629373134
0.20000000000000004,-224.14878892512075,-224.20501109260053,-224.2050110926003,-224.20501109266377,-224.2050110926006,-222.68480238921222
0.25,-224.1176949158471,-224.15943013412885,-224.159430134068,-224.15943013426678,-224.15943013412885,-222.63781524500502
0.30000000000000004,-224.09015856850078,-224.1144459731215,-224.11444597311885,-224.11444629425426,-224.1144459731215,-222.58671625979167
0.35,-224.06821762160013,-224.0800305256526,-224.08003052564612,-224.0800305730644,-224.08003052564993,-222.54125101780943
