bond length,HF,QCC-CAS,UCCSD-CAS,CCSD-CAS,FCI-CAS,ecore
-0.1,-29.755796458849296,-29.756455346413258,-29.75645534609154,-29.75645536012513,-29.756455346383756,-29.25448470740899
-0.05,-29.757067559258488,-29.757771025944017,-29.75777102582324,-29.757771042582085,-29.75777102590302,-29.26038090035327
0.0,-29.757673237735702,-29.758423401494007,-29.758423401345183,-29.75842342156157,-29.758423401437096,-29.265293270039525
0.05000000000000002,-29.75771499636486,-29.758514103032233,-29.758514102946116,-29.75851412709899,-29.758514102951697,-29.269375541231994
0.1,-29.757281230847326,-29.758131571107942,-29.758131570952553,-29.75813159981118,-29.75813157099626,-29.272760082347492
0.15,-29.75644809031859,-29.757351971121306,-29.757351970962105,-29.75735200515595,-29.757351970964578,-29.275559535351007
0.20000000000000004,-29.755280689032958,-29.756240454496464,-29.756240453614097,-29.756240494612218,-29.756240454275524,-29.277869080901503
0.25,-29.75383441522383,-29.75485249355423,-29.754852493032267,-29.75485254054474,-29.754852493240428,-29.27976879689531
0.30000000000000004,-29.752156198778756,-29.753235155754826,-29.753235155309056,-29.753235210444327,-29.753235155309447,-29.281325853559323
0.35,-29.75028567822298,-29.751428267657253,-29.751428266741588,-29.751428330863963,-29.75142826701898,-29.282596458766335
